"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MORF4L2",-1208.31666666667,3289.14722222222,-8.68847316119617,0.000326286880826185,0.0325677333905961,-4.59118898694164
"RHOC",4726.96666666667,8521.88888888889,8.65151812599786,0.000332964701925909,0.0328730259520981,-4.59119153915406
"NFE2L1",-3721.01666666667,5509.35277777778,-8.55118091894715,0.00035193105979259,0.0340120931823259,-4.59119862204826
"USP46",-1159.03611111111,912.520833333333,-8.53995395325496,0.000354132093550871,0.0340120931823259,-4.59119942880153
"GDPD5",1669.63888888889,1349.28055555556,8.53182555070192,0.000355735863956948,0.0340120931823259,-4.59120001471408
"LAIR1",682.775,1026.21527777778,8.47708709831612,0.000366763510038093,0.034414151483853,-4.59120400054491
"WRB",-474.15,724.602777777778,-8.47341003180936,0.000367518737634454,0.034414151483853,-4.59120427082446
"MXRA8",-8607.73333333334,10588.0944444444,-8.4494333929986,0.000372488796370894,0.0345153451059876,-4.5912060411081
"IMPA2",933.494444444444,1297.25555555556,8.42487415154006,0.000377662577777714,0.0345153451059876,-4.59120786871772
"SLC22A6",2573.07222222222,2952.34166666667,8.41183995872995,0.000380443074240337,0.0345153451059876,-4.59120884460867
"ATXN10",-1962.30555555556,3348.19722222222,-8.39464752047512,0.000384147883168473,0.0345153451059876,-4.59121013817574
"COL4A5",-947.683333333334,755.366666666667,-8.37880677235146,0.000387599383552872,0.0345153451059876,-4.59121133646816
"HMCES",-639.869444444445,518.379166666667,-8.31632937203714,0.000401576355657398,0.0349809476261742,-4.59121612356419
"PLPP2",1213.74722222222,1008.78194444444,8.31334759584175,0.00040225824160627,0.0349809476261742,-4.59121635448971
"GPR15",1035.13611111111,964.776388888889,8.30410010274935,0.000404381757211085,0.0349809476261742,-4.59121707210697
"PTGER4",-1045.52222222222,1275.78333333333,-8.26792864575463,0.000412816698164481,0.0350740570559894,-4.5912199001129
"ASS1",8384.09444444444,9883.34722222222,8.2663857134971,0.000413181119122631,0.0350740570559894,-4.59122002149529
"CROCC",952.505555555556,1655.66944444444,8.24833548805092,0.000417472839218383,0.0351102388761165,-4.59122144610471
"ADD2",463.6,736.277777777778,8.19902639507963,0.000429469253670893,0.0356047405844669,-4.59122538143485
"CNTN2",1969.09444444444,3021.28055555556,8.19207768481339,0.000431192498545784,0.0356047405844669,-4.59122594119651
"EHBP1",-632.394444444445,1090.50833333333,-8.14679884794998,0.000442624537313566,0.0362194474992713,-4.59122962053904
"BMP2",-702.427777777778,426.613888888889,-8.12131973197324,0.000449215586708999,0.0364305819114093,-4.59123171551935
"TRAM2",-3285.04444444445,3053.38888888889,-8.09981874777121,0.000454868299246911,0.0364937597789452,-4.5912334973469
"PHB2",1482.62777777778,4310.03055555556,8.06971437231859,0.000462925331699491,0.0364937597789452,-4.59123601383848
"AFAP1",-518.313888888889,1176.24861111111,-8.061453909583,0.000465165657623514,0.0364937597789452,-4.59123670881095
"RAI14",-989.297222222223,943.373611111111,-8.04750336811708,0.000468978464980065,0.0364937597789452,-4.5912378868993
"NDN",-1390.95277777778,999.934722222222,-8.03251347791892,0.000473116725802247,0.0364937597789452,-4.59123915894604
"HNRNPC",-1639.15,1834.325,-8.02896936867394,0.000474101470209791,0.0364937597789452,-4.59123946064166
"MTDH",-1447.02222222222,1769.16111111111,-7.97377415338198,0.0004897559367667,0.0372668461943313,-4.59124420615497
"FOXC1",-4110.74166666667,2435.61805555556,-7.95049948867703,0.000496540377303794,0.0372668461943313,-4.59124623401653
"C1R",-5189.80555555556,4088.86944444444,-7.93474026972291,0.000501197417977398,0.0372668461943313,-4.59124761622119
"GPC4",-377.3,215.922222222222,-7.91837650341819,0.000506088026107318,0.0372668461943313,-4.59124905932734
"SLIT2",727.586111111111,869.345833333333,7.88805657594536,0.000515300082652384,0.0372668461943313,-4.59125175462464
"DICER1",-379.488888888889,1515.34444444444,-7.8711375943519,0.00052052694909177,0.0372668461943313,-4.59125327084455
